name,latitude,longitude
metadata\meta-001vcpZLV2Y7.json, 40 24 18.00 N, 73 56 21.48 W
metadata\meta-003BAYavAqMz.json, 41 38 45.24 N, 81 21 47.16 W
metadata\meta-003UlcDU4xP8.json, 41 11 29.76 N, 87 2 53.16 W
metadata\meta-004KkBYW8VQl.json, 38 54 38.88 N, 94 40 8.04 W
metadata\meta-006DsuDEmuA3.json, 26 27 34.92 N, 80 6 39.96 W
metadata\meta-006OZ1YYlTnM.json, 38 55 58.80 N, 77 4 27.48 W
metadata\meta-0071Ls3e0rdk.json, 34 9 19.80 N, 118 23 44.52 W
metadata\meta-00a5hCThKvGZ.json, 38 43 26.40 N, 90 17 39.12 W
metadata\meta-00AXNiD268OM.json, 48 17 59.64 N, 101 25 8.40 W
metadata\meta-00c0HInRUnCW.json, 46 56 25.08 N, 65 16 10.56 W
metadata\meta-00c1BAziGmOa.json, 40 1 48.72 N, 75 37 48.00 W
metadata\meta-00gB8FlhzneT.json, 38 53 47.76 N, 77 1 54.84 W
metadata\meta-00Hvd9jHHcbc.json, 42 28 14.52 N, 96 51 10.44 W
metadata\meta-00kdgEvcq3R3.json, 40 21 24.48 N, 123 55 23.88 W
metadata\meta-00LFHAHFY25r.json, 43 43 9.48 N, 116 14 21.12 W
metadata\meta-00OuC6zP4Skk.json, 59 23 4.92 N, 17 2 25.44 E
metadata\meta-00ox91dUQgoe.json, 30 6 38.52 N, 93 53 24.36 W
metadata\meta-00PjA7fdflvX.json, 55 13 33.60 N, 4 23 6.00 W
metadata\meta-00PkskLYwbuI.json, 33 10 56.60 N, 111 35 18.20 W
metadata\meta-00pOIvaTVT34.json, 42 31 15.96 N, 87 52 35.40 W
metadata\meta-00Qfj8R5UwOU.json, 40 14 2.04 N, 104 59 48.48 W
metadata\meta-00z8qlBoUzYg.json, 32 40 12.36 N, 114 35 24.72 W
metadata\meta-012kjE8WVvAC.json, 35 16 12.36 N, 90 28 37.92 W
metadata\meta-012P62SHi1x6.json, 54 26 27.96 N, 6 15 42.12 W
metadata\meta-012XxFHqGnok.json, 43 50 26.52 N, 79 28 33.60 W
metadata\meta-014JIcngQfU5.json, 42 25 27.48 N, 87 52 11.28 W
metadata\meta-014miauNj72M.json, 32 11 6.00 N, 95 19 22.44 W
metadata\meta-0154M9Appipj.json, 35 25 29.28 N, 78 5 49.20 W
metadata\meta-016Qu6EcLJza.json, 26 23 24.72 N, 80 13 10.56 W
metadata\meta-018Xw3NXrWG0.json, 38 12 35.28 N, 84 35 6.00 W
metadata\meta-019Oncsth7lj.json, 38 42 20.16 N, 77 15 22.32 W
metadata\meta-01bbprTFY5i2.json, 40 44 42.72 N, 73 15 31.68 W
metadata\meta-01BLN9XD7QVB.json, 46 48 16.92 N, 96 52 22.08 W
metadata\meta-01bOwnOSxR6E.json, 26 26 40.92 N, 80 5 19.32 W
metadata\meta-01dErFSBrrOx.json, 32 56 0.60 N, 80 7 28.20 W
metadata\meta-01Dr0cCRKUBR.json, 38 53 38.04 N, 77 1 26.76 W
metadata\meta-01JCLAwZAhUS.json, 32 4 53.76 N, 102 4 43.68 W
metadata\meta-01JTU90lqc83.json, 27 49 10.56 N, 82 49 34.32 W
metadata\meta-01NXbIu0kXQX.json, 43 48 30.24 N, 79 15 56.52 W
metadata\meta-01PkXQ2Fh50T.json, 31 6 9.00 N, 97 28 40.44 W
metadata\meta-01qNoBV2b5nn.json, 38 52 22.80 N, 77 16 42.96 W
metadata\meta-01T2gzK2OiGl.json, 39 34 17.72 N, 2 36 52.16 E
metadata\meta-01y9xayI52wn.json, 38 53 44.16 N, 77 1 51.24 W
metadata\meta-01Yqv5nS6JTk.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-025Qnjd2NlTP.json, 27 47 9.60 N, 82 46 11.28 W
metadata\meta-0261f0TEn46K.json, 38 53 24.72 N, 77 0 35.28 W
metadata\meta-02flnqYs02BG.json, 38 53 45.24 N, 77 1 42.60 W
metadata\meta-02GdDg6E5O1z.json, 38 53 44.52 N, 77 1 52.68 W
metadata\meta-02GnnVnKHG5m.json, 32 40 16.32 N, 96 15 43.56 W
metadata\meta-02IizfQRjDYC.json, 40 37 36.48 N, 74 16 43.68 W
metadata\meta-02INkkvuMW78.json, 35 15 31.68 N, 79 1 0.84 W
metadata\meta-02l4o7df6gde.json, 38 14 10.32 N, 77 54 29.16 W
metadata\meta-02o81qux8OsG.json, 38 53 25.08 N, 77 0 19.80 W
metadata\meta-02RGqeBcehSG.json, 21 18 43.20 N, 158 1 41.16 W
metadata\meta-02RVLaZWrscN.json, 40 25 18.12 N, 79 53 56.40 W
metadata\meta-02TKcxYMEhwT.json, 39 49 53.40 N, 123 40 33.96 W
metadata\meta-02tnRfAUj1B8.json, 25 44 38.76 S, 28 12 35.64 E
metadata\meta-02z4YCZMHLWY.json, 37 0 47.16 N, 84 37 8.40 W
metadata\meta-030zKXdE93nR.json, 51 1 45.48 N, 114 1 15.60 W
metadata\meta-0310pTUlz0Fl.json, 36 31 23.52 N, 82 5 18.24 W
metadata\meta-0312jsXEKd1E.json, 29 38 3.84 N, 95 1 5.52 W
metadata\meta-036o3qNxsPfA.json, 41 54 53.28 N, 87 38 44.52 W
metadata\meta-036Q5uJz8HMc.json, 33 48 49.68 N, 117 32 42.72 W
metadata\meta-036xej6zlakS.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-036Y47P2gQLx.json, 30 2 42.36 N, 97 57 40.32 W
metadata\meta-038ElPs1hcGX.json, 27 48 11.52 N, 97 27 15.48 W
metadata\meta-03A0rxy3aTNS.json, 45 30 31.68 N, 122 34 4.44 W
metadata\meta-03a6VqVl2v4X.json, 33 25 13.44 N, 111 31 22.44 W
metadata\meta-03c9PtVXYq4K.json, 33 59 3.48 N, 118 5 45.60 W
metadata\meta-03hw4UuBBHGE.json, 34 5 29.40 N, 88 37 6.24 W
metadata\meta-03kmR2vJ1Y9t.json, 32 5 23.64 N, 34 46 11.28 E
metadata\meta-03kpPcwzHFdO.json, 33 9 43.92 N, 102 12 34.56 W
metadata\meta-03MqF5IITdzz.json, 41 54 7.92 N, 12 27 27.36 E
metadata\meta-03myEyzw5cRC.json, 26 56 56.04 N, 81 57 2.52 W
metadata\meta-03nuJkoad13c.json, 41 32 32.28 N, 83 37 25.32 W
metadata\meta-03nXkqa4zP3L.json, 40 34 26.40 N, 122 22 33.60 W
metadata\meta-03RSuKSvrHXa.json, 38 36 18.72 N, 78 29 56.04 W
metadata\meta-03xT7SCz4Zcg.json, 39 17 16.08 N, 76 34 13.08 W
metadata\meta-0430yyTiy8NY.json, 37 45 34.92 N, 121 27 28.80 W
metadata\meta-043oBHNbYlAW.json, 39 5 28.68 N, 79 25 26.04 W
metadata\meta-046Ii5JfpLxj.json, 35 44 35.88 N, 81 23 22.20 W
metadata\meta-046N0RVwbN6Y.json, 28 53 6.72 N, 82 31 51.60 W
metadata\meta-04AeVE08cTSz.json, 30 11 13.56 N, 95 32 45.96 W
metadata\meta-04aPSGXs9uu1.json, 38 53 30.48 N, 77 2 10.68 W
metadata\meta-04J0GQdGLRIU.json, 41 20 14.64 N, 87 7 19.92 W
metadata\meta-04kPI1F4CHnv.json, 40 53 23.64 N, 74 13 0.12 W
metadata\meta-04NyoBV7kcW0.json, 29 51 26.64 N, 95 36 10.80 W
metadata\meta-04pgjgtaf53s.json, 33 46 39.72 N, 112 14 56.76 W
metadata\meta-04QHOFPNcEZP.json, 33 49 36.12 N, 98 10 44.40 W
metadata\meta-04V2lSxDsi5n.json, 38 53 25.08 N, 77 0 52.20 W
metadata\meta-04VFKc6UMpsg.json, 42 44 24.72 N, 71 1 40.80 W
metadata\meta-04wwIhxYO9tz.json, 33 40 33.96 N, 78 58 24.60 W
metadata\meta-04ZHxy3NoXYu.json, 16 43 30.72 S, 49 16 12.72 W
metadata\meta-050dkxxAyGTt.json, 51 28 0.48 N, 0 22 58.80 W
metadata\meta-0589CHC7MuYL.json, 26 16 53.76 N, 80 16 4.08 W
metadata\meta-059AWtA9q7PG.json, 38 53 24.00 N, 77 0 37.08 W
metadata\meta-059Br4anc2Xa.json, 40 36 59.04 N, 74 0 42.12 W
metadata\meta-05CowAftHT52.json, 29 51 58.68 N, 81 19 22.80 W
metadata\meta-05cT38MDyW8i.json, 47 28 42.60 N, 122 19 35.40 W
metadata\meta-05fLzjKI8Mjm.json, 42 35 38.40 N, 83 58 25.68 W
metadata\meta-05HXFOSWDh76.json, 38 48 26.64 N, 77 8 30.48 W
metadata\meta-05HZvWu1dWv3.json, 40 19 11.64 N, 79 54 24.12 W
metadata\meta-05P1IAhzVDIu.json, 40 40 4.44 N, 73 31 49.08 W
metadata\meta-05pivpVLkw6P.json, 37 41 49.56 N, 121 2 3.12 W
metadata\meta-05qpu3PHmTcj.json, 38 52 53.04 N, 77 4 6.24 W
metadata\meta-05RwwFcQNjXx.json, 44 18 28.08 N, 69 46 54.84 W
